Datum;Event_Name;Typ;Gewichtung;Ort
2024-06-29;AC/DC;Konzert;3;Stadion Letzigrund
2024-07-09;Taylor Swift;Konzert;3;Stadion Letzigrund
2024-07-10;Taylor Swift;Konzert;3;Stadion Letzigrund
2025-08-02;Ed Sheeran;Konzert;2;Stadion Letzigrund
2025-08-03;Ed Sheeran;Konzert;2;Stadion Letzigrund
