Datum;Event_Name;Typ;Gewichtung;Ort
2024-08-11;FCZ vs FC Lausanne-Sport;Super League;2;Letzigrund
2024-08-24;GCZ vs FC Sion;Super League;1;Letzigrund
2024-09-01;FCZ vs FC Luzern;Super League;2;Letzigrund
2024-09-21;GCZ vs Servette FC;Super League;1;Letzigrund
2024-09-29;FCZ vs FC Sion;Super League;2;Letzigrund
2024-10-06;FCZ vs FC Lugano;Super League;2;Letzigrund
2024-10-19;GCZ vs FC Zürich;Super League;1;Letzigrund
2024-10-27;FCZ vs Servette FC;Super League;2;Letzigrund
2024-10-31;GCZ vs FC Lugano;Super League;1;Letzigrund
2024-11-02;FCZ vs BSC Young Boys;Super League;2;Letzigrund
2024-11-10;GCZ vs FC St. Gallen 1879;Super League;1;Letzigrund
2024-11-23;GCZ vs FC Winterthur;Super League;1;Letzigrund
2024-11-30;FCZ vs Grasshopper Club Zürich;Super League;2;Letzigrund
2024-12-03;GCZ vs FC Zürich;Schweizer Cup;1;Letzigrund
2024-12-07;GCZ vs Yverdon Sport FC;Super League;1;Letzigrund
2024-12-15;FCZ vs FC St. Gallen 1879;Super League;2;Letzigrund
2025-01-19;FCZ vs Yverdon Sport FC;Super League;2;Letzigrund
2025-01-25;GCZ vs BSC Young Boys;Super League;1;Letzigrund
2025-02-02;FCZ vs FC Basel 1893;Super League;2;Letzigrund
2025-02-04;GCZ vs FC Lausanne-Sport;Super League;1;Letzigrund
2025-02-09;FCZ vs FC St. Gallen 1879;Super League;2;Letzigrund
2025-02-16;GCZ vs Servette FC;Super League;1;Letzigrund
2025-02-22;FCZ vs Yverdon Sport FC;Super League;2;Letzigrund
2025-02-27;FCZ vs BSC Young Boys;Schweizer Cup;1;Letzigrund
2025-03-02;GCZ vs BSC Young Boys;Super League;1;Letzigrund
2025-03-09;FCZ vs Servette FC;Super League;2;Letzigrund
2025-03-15;FCZ vs FC Luzern;Super League;2;Letzigrund
2025-03-16;GCZ vs FC Sion;Super League;1;Letzigrund
2025-03-30;GCZ vs FC Zürich;Super League;1;Letzigrund
2025-04-02;FCZ vs FC Lausanne-Sport;Super League;2;Letzigrund
2025-04-06;GCZ vs FC Luzern;Super League;1;Letzigrund
2025-04-12;FCZ vs FC Basel 1893;Super League;2;Letzigrund
2025-04-19;GCZ vs FC Winterthur;Super League;1;Letzigrund
2025-05-10;FCZ vs Grasshopper Club Zürich;Super League;2;Letzigrund
2025-05-13;FCZ vs FC Winterthur;Super League;2;Letzigrund
2025-05-14;GCZ vs Yverdon Sport FC;Super League;1;Letzigrund
2025-05-22;GCZ vs FC St. Gallen 1879;Super League;1;Letzigrund
2025-05-27;GCZ vs FC Aarau;Super League Barrage;1;Letzigrund
2025-07-25;FCZ vs FC Sion;Super League;2;Letzigrund
2025-07-26;GCZ vs FC Luzern;Super League;1;Letzigrund
2025-08-23;FCZ vs FC Thun;Super League;2;Letzigrund
2025-08-24;GCZ vs FC Winterthur;Super League;1;Letzigrund
2025-09-13;FCZ vs Servette FC;Super League;2;Letzigrund
2025-09-14;GCZ vs FC Lausanne-Sport;Super League;1;Letzigrund
2025-09-27;FCZ vs FC St. Gallen 1879;Super League;2;Letzigrund
2025-10-04;GCZ vs FC Zürich;Super League;1;Letzigrund
2025-10-19;GCZ vs FC Sion;Super League;1;Letzigrund
2025-10-26;FCZ vs BSC Young Boys;Super League;2;Letzigrund
2025-10-30;GCZ vs BSC Young Boys;Super League;1;Letzigrund
2025-11-01;FCZ vs FC Lausanne-Sport;Super League;2;Letzigrund
2025-11-08;FCZ vs FC Luzern;Super League;2;Letzigrund
2025-11-23;GCZ vs FC Basel 1893;Super League;1;Letzigrund
2025-11-29;FCZ vs Grasshopper Club Zürich;Super League;2;Letzigrund
2025-12-06;GCZ vs Servette FC;Super League;1;Letzigrund
2025-12-13;FCZ vs FC Winterthur;Super League;2;Letzigrund
2025-12-17;FCZ vs FC Lugano;Super League;2;Letzigrund
2025-12-21;GCZ vs FC St. Gallen 1879;Super League;1;Letzigrund
2026-01-18;GCZ vs FC Thun;Super League;1;Letzigrund
2026-01-25;FCZ vs FC Basel 1893;Super League;2;Letzigrund
2026-01-31;GCZ vs FC Lugano;Super League;1;Letzigrund
2026-02-03;GCZ vs FC Sion;Schweizer Cup;1;Letzigrund
2026-02-07;GCZ vs BSC Young Boys;Super League;1;Letzigrund
2026-02-11;FCZ vs FC Winterthur;Super League;2;Letzigrund
2026-02-14;FCZ vs FC Luzern;Super League;2;Letzigrund
2026-02-21;GCZ vs FC Zürich;Super League;1;Letzigrund
2026-03-01;GCZ vs FC Lugano;Super League;1;Letzigrund
2026-03-04;FCZ vs FC Lausanne-Sport;Super League;2;Letzigrund
